order_id,order_date,customer_segment,dc,lines,units,value_usd,promised_date,shipped_date,on_time
ORD-50001,2024-01-01,ecommerce,RNO-1,8,64,3508,2024-01-05,2024-01-05,yes
ORD-50002,2024-01-01,independent,CMH-1,6,228,9209,2024-01-05,2024-01-07,no
ORD-50004,2024-01-01,retail-chain,RNO-1,5,30,394,2024-01-04,2024-01-04,yes
ORD-50005,2024-01-01,ecommerce,CMH-1,14,308,10022,2024-01-06,2024-01-08,no
ORD-50007,2024-01-01,retail-chain,PDX-1,6,60,1708,2024-01-04,2024-01-05,no
ORD-50008,2024-01-01,retail-chain,RNO-1,7,266,5111,2024-01-04,2024-01-04,yes
ORD-50010,2024-01-01,independent,CMH-1,14,532,23844,2024-01-05,2024-01-05,yes
ORD-50013,2024-01-02,independent,PDX-1,2,64,1040,2024-01-08,2024-01-10,no
ORD-50016,2024-01-02,independent,PDX-1,4,116,4935,2024-01-06,2024-01-06,yes
ORD-50019,2024-01-02,independent,RNO-1,3,120,5973,2024-01-07,2024-01-09,no
ORD-50021,2024-01-02,b2b-direct,CMH-1,1,21,463,2024-01-06,2024-01-08,no
ORD-50023,2024-01-02,retail-chain,PDX-1,7,182,9427,2024-01-05,2024-01-05,yes
ORD-50026,2024-01-02,ecommerce,RNO-1,10,230,4220,2024-01-05,2024-01-05,yes
ORD-50029,2024-01-02,ecommerce,RNO-1,9,216,9124,2024-01-06,2024-01-07,no
ORD-50030,2024-01-03,independent,PDX-1,13,39,441,2024-01-07,2024-01-07,yes
ORD-50032,2024-01-03,retail-chain,PDX-1,3,111,3367,2024-01-06,2024-01-08,no
ORD-50034,2024-01-03,retail-chain,RNO-1,12,336,17843,2024-01-07,2024-01-07,yes
ORD-50037,2024-01-04,b2b-direct,PDX-1,12,180,2843,2024-01-07,2024-01-07,yes
ORD-50039,2024-01-04,b2b-direct,RNO-1,5,85,2747,2024-01-10,2024-01-11,no
ORD-50042,2024-01-04,b2b-direct,CMH-1,4,148,1579,2024-01-09,2024-01-09,yes
ORD-50045,2024-01-04,b2b-direct,PDX-1,11,132,5959,2024-01-09,2024-01-13,no
ORD-50047,2024-01-04,ecommerce,CMH-1,9,72,2453,2024-01-10,2024-01-12,no
ORD-50048,2024-01-04,independent,CMH-1,12,96,2788,2024-01-07,2024-01-09,no
ORD-50049,2024-01-05,b2b-direct,RNO-1,7,161,7215,2024-01-09,2024-01-09,yes
ORD-50050,2024-01-05,retail-chain,RNO-1,2,78,1082,2024-01-08,2024-01-09,no
ORD-50052,2024-01-05,ecommerce,RNO-1,5,25,632,2024-01-08,2024-01-08,yes
ORD-50053,2024-01-05,b2b-direct,PDX-1,5,180,2618,2024-01-08,2024-01-08,yes
ORD-50054,2024-01-05,retail-chain,PDX-1,14,406,14050,2024-01-11,2024-01-11,yes
ORD-50055,2024-01-05,retail-chain,RNO-1,9,153,6194,2024-01-09,2024-01-09,yes
ORD-50058,2024-01-06,retail-chain,RNO-1,7,14,575,2024-01-11,2024-01-15,no
ORD-50060,2024-01-06,b2b-direct,PDX-1,3,84,3239,2024-01-10,2024-01-10,yes
ORD-50063,2024-01-06,ecommerce,RNO-1,9,36,490,2024-01-09,2024-01-09,yes
ORD-50064,2024-01-06,independent,PDX-1,13,39,1919,2024-01-12,2024-01-12,yes
ORD-50065,2024-01-06,retail-chain,RNO-1,13,273,6681,2024-01-09,2024-01-11,no
ORD-50068,2024-01-06,independent,CMH-1,13,338,14069,2024-01-12,2024-01-13,no
ORD-50069,2024-01-06,retail-chain,RNO-1,14,518,5232,2024-01-09,2024-01-09,yes
ORD-50071,2024-01-07,ecommerce,CMH-1,4,36,1084,2024-01-10,2024-01-10,yes
ORD-50073,2024-01-07,independent,PDX-1,3,87,3049,2024-01-13,2024-01-15,no
ORD-50074,2024-01-07,retail-chain,PDX-1,9,306,12043,2024-01-12,2024-01-12,yes
ORD-50076,2024-01-07,ecommerce,RNO-1,13,416,7271,2024-01-13,2024-01-13,yes
ORD-50078,2024-01-07,independent,CMH-1,14,224,8037,2024-01-10,2024-01-10,yes
ORD-50079,2024-01-07,ecommerce,PDX-1,14,140,5694,2024-01-10,2024-01-12,no
ORD-50080,2024-01-07,b2b-direct,PDX-1,7,231,9086,2024-01-11,2024-01-11,yes
ORD-50081,2024-01-07,retail-chain,PDX-1,13,299,15917,2024-01-13,2024-01-13,yes
ORD-50082,2024-01-08,independent,RNO-1,13,221,5007,2024-01-14,2024-01-14,yes
ORD-50085,2024-01-08,b2b-direct,PDX-1,3,90,4701,2024-01-11,2024-01-13,no
ORD-50086,2024-01-08,retail-chain,CMH-1,13,104,5137,2024-01-11,2024-01-11,yes
ORD-50088,2024-01-08,ecommerce,RNO-1,14,406,16761,2024-01-11,2024-01-11,yes
ORD-50091,2024-01-08,retail-chain,RNO-1,1,34,1140,2024-01-11,2024-01-11,yes
ORD-50092,2024-01-09,ecommerce,RNO-1,10,150,4261,2024-01-12,2024-01-12,yes
ORD-50094,2024-01-09,ecommerce,RNO-1,10,40,516,2024-01-13,2024-01-17,no
ORD-50097,2024-01-09,independent,PDX-1,12,36,330,2024-01-12,2024-01-16,no
ORD-50100,2024-01-09,ecommerce,RNO-1,12,180,8857,2024-01-15,2024-01-16,no
ORD-50102,2024-01-09,ecommerce,CMH-1,2,16,626,2024-01-12,2024-01-12,yes
ORD-50104,2024-01-09,ecommerce,CMH-1,1,16,151,2024-01-13,2024-01-14,no
ORD-50106,2024-01-09,ecommerce,CMH-1,11,110,1293,2024-01-14,2024-01-14,yes
ORD-50107,2024-01-09,ecommerce,RNO-1,1,21,815,2024-01-13,2024-01-13,yes
ORD-50110,2024-01-10,retail-chain,RNO-1,14,126,3383,2024-01-16,2024-01-16,yes
ORD-50112,2024-01-10,ecommerce,RNO-1,4,92,1505,2024-01-14,2024-01-14,yes
ORD-50113,2024-01-10,b2b-direct,PDX-1,10,170,7808,2024-01-13,2024-01-13,yes
ORD-50114,2024-01-10,ecommerce,PDX-1,5,60,673,2024-01-13,2024-01-13,yes
ORD-50116,2024-01-10,b2b-direct,RNO-1,1,32,1144,2024-01-14,2024-01-14,yes
ORD-50117,2024-01-10,b2b-direct,PDX-1,9,333,16991,2024-01-16,2024-01-16,yes
ORD-50119,2024-01-11,retail-chain,RNO-1,13,364,15575,2024-01-17,2024-01-17,yes
ORD-50122,2024-01-11,retail-chain,CMH-1,14,98,1223,2024-01-15,2024-01-15,yes
ORD-50123,2024-01-11,independent,CMH-1,9,360,14843,2024-01-16,2024-01-16,yes
ORD-50124,2024-01-11,ecommerce,PDX-1,11,253,7804,2024-01-15,2024-01-19,no
ORD-50125,2024-01-12,ecommerce,CMH-1,4,60,2477,2024-01-18,2024-01-19,no
ORD-50126,2024-01-12,independent,RNO-1,11,363,12233,2024-01-16,2024-01-20,no
ORD-50127,2024-01-12,independent,CMH-1,14,294,12136,2024-01-15,2024-01-15,yes
ORD-50129,2024-01-12,retail-chain,RNO-1,6,228,4832,2024-01-16,2024-01-17,no
ORD-50131,2024-01-13,b2b-direct,RNO-1,1,24,243,2024-01-16,2024-01-17,no
ORD-50132,2024-01-13,independent,PDX-1,14,294,14476,2024-01-19,2024-01-19,yes
ORD-50133,2024-01-13,retail-chain,CMH-1,3,39,1466,2024-01-18,2024-01-22,no
ORD-50135,2024-01-13,b2b-direct,PDX-1,2,40,485,2024-01-16,2024-01-16,yes
ORD-50138,2024-01-13,ecommerce,CMH-1,13,117,3006,2024-01-16,2024-01-18,no
ORD-50140,2024-01-13,b2b-direct,PDX-1,3,51,1176,2024-01-16,2024-01-16,yes
ORD-50143,2024-01-13,independent,CMH-1,11,341,5106,2024-01-17,2024-01-18,no
ORD-50145,2024-01-13,independent,PDX-1,13,390,17057,2024-01-18,2024-01-18,yes
ORD-50147,2024-01-14,retail-chain,RNO-1,7,140,4377,2024-01-17,2024-01-17,yes
ORD-50150,2024-01-14,b2b-direct,RNO-1,6,162,2451,2024-01-18,2024-01-18,yes
ORD-50153,2024-01-14,b2b-direct,PDX-1,1,27,302,2024-01-20,2024-01-24,no
ORD-50154,2024-01-14,b2b-direct,CMH-1,8,96,3502,2024-01-20,2024-01-21,no
ORD-50157,2024-01-14,ecommerce,CMH-1,7,56,2965,2024-01-19,2024-01-21,no
ORD-50160,2024-01-15,b2b-direct,CMH-1,1,24,655,2024-01-21,2024-01-21,yes
ORD-50163,2024-01-15,retail-chain,CMH-1,8,232,4664,2024-01-18,2024-01-18,yes
ORD-50166,2024-01-15,ecommerce,CMH-1,11,374,19099,2024-01-19,2024-01-19,yes
