fired_at_utc,alert,service,severity,duration_min,acked_by,resolution
2024-01-02 02:00,RateLimiterSaturation,notification-svc,critical,8,huy.n,escalated to secondary
2024-01-05 00:20,RedisMemoryHigh,auth-svc,warning,8,sam.o,auto-resolved
2024-01-05 18:06,ReplicationLagHigh,search-indexer,warning,15,sam.o,partner notified
2024-01-06 01:17,RedisMemoryHigh,payments-api,warning,8,huy.n,false positive - tuned threshold
2024-01-06 10:00,DiskPressure,notification-svc,warning,41,priya.k,false positive - tuned threshold
2024-01-09 21:05,RateLimiterSaturation,webhook-dispatch,critical,15,dana.r,config fix deployed
2024-01-11 04:52,QueueDepthGrowing,webhook-dispatch,warning,8,huy.n,auto-resolved
2024-01-14 08:42,ReplicationLagHigh,webhook-dispatch,warning,41,lena.v,deploy rolled back
2024-01-18 21:10,PodCrashLooping,feature-flags,critical,22,huy.n,false positive - tuned threshold
2024-01-19 17:17,ReplicationLagHigh,auth-svc,warning,12,lena.v,ticket filed
2024-01-22 17:28,RedisMemoryHigh,auth-svc,warning,22,sam.o,config fix deployed
2024-01-24 20:50,DiskPressure,reporting-api,warning,70,marcus.t,scaled up replicas
2024-01-26 09:11,RateLimiterSaturation,cron-runner,critical,8,dana.r,false positive - tuned threshold
2024-02-02 02:00,ReplicationLagHigh,partner-gateway,warning,95,dana.r,config fix deployed
2024-02-05 12:58,RateLimiterSaturation,cron-runner,critical,8,marcus.t,config fix deployed
2024-02-07 00:33,BackupMissed,payments-api,critical,3,marcus.t,ticket filed
2024-02-08 18:44,BackupMissed,auth-svc,critical,70,huy.n,escalated to secondary
2024-02-10 06:32,ErrorRateAboveSLO,notification-svc,critical,30,sam.o,silenced during maintenance
2024-02-10 20:03,ReplicationLagHigh,payments-api,warning,12,dana.r,false positive - tuned threshold
2024-02-13 14:07,RedisMemoryHigh,feature-flags,warning,95,marcus.t,runbook applied
2024-02-15 12:03,QueueDepthGrowing,search-indexer,warning,8,sam.o,auto-resolved
2024-02-17 05:56,CertExpiresSoon,rate-limiter,info,3,priya.k,scaled up replicas
2024-02-20 23:40,PodCrashLooping,payments-api,critical,41,lena.v,deploy rolled back
2024-02-24 19:32,PodCrashLooping,notification-svc,critical,5,lena.v,deploy rolled back
2024-02-25 08:48,RedisMemoryHigh,partner-gateway,warning,30,sam.o,silenced during maintenance
2024-02-26 16:50,RedisMemoryHigh,edge-proxy,warning,41,lena.v,partner notified
2024-03-02 11:27,DiskPressure,edge-proxy,warning,95,lena.v,config fix deployed
2024-03-03 01:07,HighP95Latency,notification-svc,warning,8,dana.r,config fix deployed
2024-03-07 07:38,RedisMemoryHigh,cron-runner,warning,8,marcus.t,ticket filed
2024-03-08 11:20,ReplicationLagHigh,reporting-api,warning,12,huy.n,deploy rolled back
2024-03-11 06:58,CertExpiresSoon,edge-proxy,info,22,huy.n,partner notified
2024-03-13 12:36,BackupMissed,search-indexer,critical,30,dana.r,deploy rolled back
2024-03-15 22:51,HighP95Latency,edge-proxy,warning,3,marcus.t,ticket filed
2024-03-17 03:07,BackupMissed,auth-svc,critical,8,marcus.t,runbook applied
2024-03-19 12:35,PodCrashLooping,partner-gateway,critical,12,priya.k,silenced during maintenance
