date,service,requests_m,error_rate_pct,p95_ms,cpu_pct
2024-01-01,payments-api,23.08,0.17,156,27
2024-01-01,auth-svc,11.29,0.23,124,47
2024-01-01,search-indexer,3.7,0.29,96,24
2024-01-01,billing-worker,12.32,0.14,174,41
2024-01-01,notification-svc,7.53,0.13,125,31
2024-01-01,partner-gateway,1.69,0.21,189,49
2024-01-01,rate-limiter,21.52,0.07,202,50
2024-01-01,edge-proxy,9.48,0.31,168,25
2024-01-01,reporting-api,16.84,0.17,91,42
2024-01-01,feature-flags,1.91,0.35,123,30
2024-01-01,cron-runner,11.47,0.09,219,20
2024-01-01,webhook-dispatch,8.37,0.36,212,29
2024-01-02,payments-api,24.88,0.28,145,44
2024-01-02,auth-svc,12.84,0.12,139,28
2024-01-02,search-indexer,4.09,0.02,104,40
2024-01-02,billing-worker,13.97,0.21,144,45
2024-01-02,notification-svc,9.24,0.09,124,45
2024-01-02,partner-gateway,1.74,0.25,213,17
2024-01-02,rate-limiter,25.01,0.27,195,47
2024-01-02,edge-proxy,11.64,0.34,154,35
2024-01-02,reporting-api,20.24,0.21,94,37
2024-01-02,feature-flags,2.26,0.09,132,55
2024-01-02,cron-runner,13.11,0.15,203,35
2024-01-02,webhook-dispatch,9.36,0.06,241,40
2024-01-03,payments-api,28.73,0.11,143,53
2024-01-03,auth-svc,13.73,0.31,134,46
2024-01-03,search-indexer,4.07,0.06,98,33
2024-01-03,billing-worker,13.73,0.28,153,53
2024-01-03,notification-svc,9.15,0.1,120,39
2024-01-03,partner-gateway,1.93,0.29,233,39
2024-01-03,rate-limiter,26.78,0.01,226,47
2024-01-03,edge-proxy,11.95,0.07,167,36
2024-01-03,reporting-api,21.89,0.05,78,34
2024-01-03,feature-flags,2.31,0.2,133,33
2024-01-03,cron-runner,14.74,0.11,206,20
2024-01-03,webhook-dispatch,9.4,0.22,228,33
2024-01-04,payments-api,23.4,0.13,159,35
2024-01-04,auth-svc,11.79,0.01,124,61
2024-01-04,search-indexer,3.87,0.19,94,47
2024-01-04,billing-worker,12.09,0.12,160,24
2024-01-04,notification-svc,7.99,0.27,122,36
2024-01-04,partner-gateway,1.64,0.28,224,49
2024-01-04,rate-limiter,23.14,0.18,211,39
2024-01-04,edge-proxy,11.53,0.2,173,31
2024-01-04,reporting-api,17.85,0.25,86,28
2024-01-04,feature-flags,1.88,0.28,139,40
2024-01-04,cron-runner,12.66,0.22,215,53
2024-01-04,webhook-dispatch,8.24,0.25,229,32
2024-01-05,payments-api,20.55,0.01,155,37
2024-01-05,auth-svc,9.76,0.07,128,48
2024-01-05,search-indexer,3.04,0.15,104,28
2024-01-05,billing-worker,10.93,0.23,173,48
2024-01-05,notification-svc,6.47,0.07,127,50
2024-01-05,partner-gateway,1.46,0.2,207,30
2024-01-05,rate-limiter,17.29,0.15,228,32
2024-01-05,edge-proxy,9.37,0.06,156,36
2024-01-05,reporting-api,15.07,0.05,79,19
2024-01-05,feature-flags,1.59,0.18,139,37
2024-01-05,cron-runner,9.83,0.18,221,40
2024-01-05,webhook-dispatch,7.45,0.15,249,45
2024-01-06,payments-api,17.81,0.12,161,24
2024-01-06,auth-svc,7.95,0.25,134,48
2024-01-06,search-indexer,2.52,0.06,95,18
2024-01-06,billing-worker,8.94,0.21,160,38
2024-01-06,notification-svc,5.86,0.19,112,49
2024-01-06,partner-gateway,1.26,0.07,235,38
2024-01-06,rate-limiter,15.15,0.27,196,38
2024-01-06,edge-proxy,8.14,0.07,179,31
2024-01-06,reporting-api,13.31,0.24,90,22
2024-01-06,feature-flags,1.41,0.23,137,42
2024-01-06,cron-runner,8.73,0.16,205,34
2024-01-06,webhook-dispatch,6.19,0.05,240,38
2024-01-07,payments-api,17.61,0.08,174,39
2024-01-07,auth-svc,9.26,0.15,127,34
2024-01-07,search-indexer,3.08,0.14,92,43
2024-01-07,billing-worker,9.6,0.26,165,46
2024-01-07,notification-svc,6.52,0.3,109,38
2024-01-07,partner-gateway,1.28,0.02,200,54
2024-01-07,rate-limiter,16.4,0.16,214,42
2024-01-07,edge-proxy,8.73,0.14,147,61
2024-01-07,reporting-api,13.18,0.14,93,47
2024-01-07,feature-flags,1.46,0.24,127,31
2024-01-07,cron-runner,9.83,0.14,229,52
2024-01-07,webhook-dispatch,6.64,0.25,248,27
2024-01-08,payments-api,21.54,0.09,155,36
2024-01-08,auth-svc,11.65,0.25,125,22
2024-01-08,search-indexer,3.57,0.12,100,47
2024-01-08,billing-worker,11.62,0.09,154,36
2024-01-08,notification-svc,8.43,0.28,118,24
2024-01-08,partner-gateway,1.57,0.17,205,34
2024-01-08,rate-limiter,21.42,0.19,220,51
2024-01-08,edge-proxy,10.12,0.21,157,51
2024-01-08,reporting-api,16.7,0.12,94,47
2024-01-08,feature-flags,1.85,0.41,128,33
2024-01-08,cron-runner,12.49,0.22,221,53
2024-01-08,webhook-dispatch,7.91,0.22,231,29
2024-01-09,payments-api,28.36,0.05,170,34
2024-01-09,auth-svc,12.34,0.17,115,33
2024-01-09,search-indexer,4.08,0.19,102,26
2024-01-09,billing-worker,13.38,0.27,181,39
2024-01-09,notification-svc,8.96,0.24,119,35
2024-01-09,partner-gateway,1.99,0.11,220,16
2024-01-09,rate-limiter,23.0,0.02,223,28
2024-01-09,edge-proxy,13.21,0.27,152,48
2024-01-09,reporting-api,21.99,0.25,100,61
2024-01-09,feature-flags,2.16,0.19,135,50
2024-01-09,cron-runner,12.93,0.2,211,19
2024-01-09,webhook-dispatch,9.37,0.13,239,22
2024-01-10,payments-api,28.48,0.34,164,35
2024-01-10,auth-svc,14.32,0.13,139,29
2024-01-10,search-indexer,4.32,0.14,87,22
2024-01-10,billing-worker,13.53,0.24,173,25
