dc,sku,on_hand,allocated,available,days_of_supply,status
PDX-1,SKU-1013,892,241,651,65.0,ok
RNO-1,SKU-1013,338,51,287,24.8,ok
CMH-1,SKU-1013,158,111,47,9.4,ok
PDX-1,SKU-1026,278,165,113,18.2,ok
RNO-1,SKU-1026,37,25,12,0.5,reorder
CMH-1,SKU-1026,239,65,174,7.8,ok
PDX-1,SKU-1039,153,141,12,2.8,reorder
RNO-1,SKU-1039,123,86,37,3.7,reorder
CMH-1,SKU-1039,196,115,81,9.5,ok
PDX-1,SKU-1046,181,48,133,49.8,ok
RNO-1,SKU-1046,535,280,255,14.9,ok
CMH-1,SKU-1046,769,105,664,67.1,ok
PDX-1,SKU-1057,526,108,418,17.0,ok
RNO-1,SKU-1057,344,174,170,9.9,ok
CMH-1,SKU-1057,278,161,117,4.6,reorder
PDX-1,SKU-1068,81,15,66,5.7,reorder
RNO-1,SKU-1068,626,246,380,28.9,ok
CMH-1,SKU-1068,348,26,322,29.3,ok
PDX-1,SKU-1081,883,178,705,150.1,overstock
RNO-1,SKU-1081,93,90,3,0.1,reorder
CMH-1,SKU-1081,673,277,396,91.2,overstock
PDX-1,SKU-1088,394,265,129,17.3,ok
RNO-1,SKU-1088,713,115,598,46.1,ok
CMH-1,SKU-1088,736,141,595,39.7,ok
PDX-1,SKU-1099,263,229,34,2.4,reorder
RNO-1,SKU-1099,320,291,29,1.3,reorder
CMH-1,SKU-1099,134,21,113,4.9,reorder
PDX-1,SKU-1112,376,122,254,9.1,ok
RNO-1,SKU-1112,465,288,177,7.8,ok
CMH-1,SKU-1112,565,32,533,109.6,overstock
PDX-1,SKU-1119,359,123,236,8.6,ok
RNO-1,SKU-1119,314,67,247,53.2,ok
CMH-1,SKU-1119,263,27,236,8.7,ok
PDX-1,SKU-1132,225,167,58,4.6,reorder
RNO-1,SKU-1132,155,114,41,3.8,reorder
CMH-1,SKU-1132,522,113,409,97.9,overstock
PDX-1,SKU-1139,709,91,618,24.0,ok
RNO-1,SKU-1139,323,291,32,2.6,reorder
CMH-1,SKU-1139,736,278,458,15.4,ok
PDX-1,SKU-1152,686,13,673,69.8,ok
RNO-1,SKU-1152,69,22,47,12.0,ok
CMH-1,SKU-1152,866,48,818,147.2,overstock
PDX-1,SKU-1165,169,10,159,17.0,ok
RNO-1,SKU-1165,16,15,1,0.0,reorder
CMH-1,SKU-1165,731,112,619,105.0,overstock
PDX-1,SKU-1172,679,44,635,191.0,overstock
RNO-1,SKU-1172,197,196,1,0.0,reorder
CMH-1,SKU-1172,875,204,671,30.0,ok
PDX-1,SKU-1183,48,26,22,1.1,reorder
RNO-1,SKU-1183,640,289,351,14.8,ok
CMH-1,SKU-1183,553,61,492,24.4,ok
PDX-1,SKU-1194,543,213,330,13.4,ok
RNO-1,SKU-1194,400,196,204,26.2,ok
CMH-1,SKU-1194,235,117,118,8.6,ok
PDX-1,SKU-1207,586,53,533,66.9,ok
RNO-1,SKU-1207,450,250,200,35.7,ok
CMH-1,SKU-1207,326,33,293,13.5,ok
PDX-1,SKU-1214,743,0,743,39.9,ok
RNO-1,SKU-1214,532,205,327,18.3,ok
CMH-1,SKU-1214,145,64,81,3.6,reorder
PDX-1,SKU-1227,246,120,126,12.7,ok
RNO-1,SKU-1227,541,164,377,48.2,ok
CMH-1,SKU-1227,185,77,108,7.0,ok
PDX-1,SKU-1240,368,15,353,19.9,ok
RNO-1,SKU-1240,473,161,312,12.8,ok
CMH-1,SKU-1240,324,62,262,10.3,ok
PDX-1,SKU-1247,888,101,787,55.7,ok
RNO-1,SKU-1247,759,49,710,269.0,overstock
CMH-1,SKU-1247,149,86,63,3.7,reorder
PDX-1,SKU-1254,379,95,284,16.7,ok
RNO-1,SKU-1254,433,88,345,12.4,ok
CMH-1,SKU-1254,505,61,444,17.4,ok
PDX-1,SKU-1265,485,208,277,9.7,ok
RNO-1,SKU-1265,794,19,775,34.5,ok
CMH-1,SKU-1265,364,49,315,45.1,ok
PDX-1,SKU-1276,19,8,11,2.2,reorder
RNO-1,SKU-1276,53,48,5,0.3,reorder
CMH-1,SKU-1276,713,73,640,254.3,overstock
PDX-1,SKU-1289,146,15,131,38.6,ok
RNO-1,SKU-1289,748,158,590,22.3,ok
CMH-1,SKU-1289,379,20,359,21.4,ok
PDX-1,SKU-1300,650,249,401,20.6,ok
RNO-1,SKU-1300,141,22,119,4.4,reorder
CMH-1,SKU-1300,79,70,9,2.3,reorder
PDX-1,SKU-1313,552,98,454,16.5,ok
RNO-1,SKU-1313,448,293,155,5.8,reorder
CMH-1,SKU-1313,172,21,151,8.6,ok
PDX-1,SKU-1324,692,146,546,38.3,ok
RNO-1,SKU-1324,15,0,15,0.6,reorder
CMH-1,SKU-1324,852,74,778,133.6,overstock
PDX-1,SKU-1331,470,116,354,86.1,ok
RNO-1,SKU-1331,84,39,45,4.4,reorder
CMH-1,SKU-1331,529,144,385,13.4,ok
PDX-1,SKU-1342,392,192,200,38.4,ok
RNO-1,SKU-1342,562,100,462,17.8,ok
