shipment_id,ship_date,origin,destination,carrier,mode,units,eta,status,delay_days
SHP-230007,2023-01-04,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,1592,2023-02-08,delivered,0
SHP-230018,2023-01-04,Shenzhen CN,PDX-1,Pacific Lane,ocean,1967,2023-02-02,delivered,0
SHP-230021,2023-01-06,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,1396,2023-02-16,delivered,0
SHP-230032,2023-01-06,Shenzhen CN,PDX-1,Pacific Lane,ocean,1585,2023-02-12,delivered,0
SHP-230039,2023-01-08,Monterrey MX,CMH-1,BlueRidge Freight,FTL,355,2023-01-14,delivered,0
SHP-230050,2023-01-12,PDX-1,CMH-1,BlueRidge Freight,FTL,2041,2023-01-18,delivered,0
SHP-230053,2023-01-13,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,1771,2023-01-18,delivered,0
SHP-230056,2023-01-13,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,1856,2023-01-19,delivered,0
SHP-230059,2023-01-16,PDX-1,RNO-1,BlueRidge Freight,FTL,2509,2023-01-22,delivered,0
SHP-230066,2023-01-16,Monterrey MX,CMH-1,BlueRidge Freight,FTL,2579,2023-01-20,delivered,0
SHP-230069,2023-01-17,PDX-1,RNO-1,SwiftParcel,parcel,1805,2023-01-21,delivered,0
SHP-230080,2023-01-17,PDX-1,CMH-1,Pacific Lane,ocean,1698,2023-02-12,delivered,0
SHP-230083,2023-01-22,Hangzhou CN,PDX-1,Pacific Lane,ocean,379,2023-02-20,delivered,0
SHP-230086,2023-01-23,PDX-1,CMH-1,SwiftParcel,parcel,714,2023-01-26,delivered,0
SHP-230097,2023-01-23,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,774,2023-02-26,delivered,0
SHP-230108,2023-01-28,PDX-1,CMH-1,BlueRidge Freight,FTL,81,2023-02-06,delivered,0
SHP-230119,2023-01-28,PDX-1,CMH-1,BlueRidge Freight,LTL,1240,2023-02-06,delivered,0
SHP-230130,2023-01-30,PDX-1,CMH-1,BlueRidge Freight,LTL,989,2023-02-08,delivered,0
SHP-230137,2023-01-31,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,252,2023-02-09,delivered,0
SHP-230144,2023-02-01,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,1977,2023-02-07,delivered,0
SHP-230147,2023-02-03,PDX-1,CMH-1,SwiftParcel,parcel,2452,2023-02-07,delivered,0
SHP-230150,2023-02-03,PDX-1,RNO-1,Pacific Lane,ocean,2435,2023-03-06,delivered,0
SHP-230153,2023-02-04,RNO-1,CMH-1,BlueRidge Freight,LTL,994,2023-02-11,delivered,0
SHP-230160,2023-02-06,PDX-1,CMH-1,Pacific Lane,ocean,510,2023-03-07,delivered,0
SHP-230167,2023-02-13,Monterrey MX,CMH-1,BlueRidge Freight,FTL,2097,2023-02-18,delivered,0
SHP-230178,2023-02-17,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,1247,2023-02-21,delivered,0
SHP-230189,2023-02-19,PDX-1,RNO-1,BlueRidge Freight,LTL,1662,2023-02-28,delivered,0
SHP-230200,2023-02-20,Monterrey MX,CMH-1,BlueRidge Freight,FTL,2213,2023-02-25,delivered,0
SHP-230203,2023-02-21,PDX-1,CMH-1,BlueRidge Freight,LTL,1375,2023-03-02,delivered,0
SHP-230210,2023-02-25,RNO-1,CMH-1,SwiftParcel,parcel,1910,2023-02-01,delivered,0
SHP-230217,2023-02-27,Shenzhen CN,PDX-1,Pacific Lane,ocean,1465,2023-03-05,delivered,0
SHP-230228,2023-02-27,Hangzhou CN,PDX-1,Pacific Lane,ocean,1049,2023-03-03,delivered,0
SHP-230239,2023-03-01,PDX-1,RNO-1,Pacific Lane,ocean,1076,2023-04-09,delivered,0
SHP-230242,2023-03-01,PDX-1,RNO-1,BlueRidge Freight,LTL,2516,2023-03-09,delivered,0
SHP-230245,2023-03-04,Shenzhen CN,PDX-1,Pacific Lane,ocean,1047,2023-04-08,delivered,0
SHP-230252,2023-03-04,PDX-1,CMH-1,SwiftParcel,parcel,265,2023-03-09,delivered,0
SHP-230255,2023-03-05,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,2511,2023-03-11,delivered,0
SHP-230258,2023-03-05,PDX-1,RNO-1,Pacific Lane,ocean,2194,2023-04-03,delivered,0
SHP-230269,2023-03-08,RNO-1,CMH-1,Pacific Lane,ocean,1636,2023-04-10,delivered,0
SHP-230276,2023-03-11,RNO-1,CMH-1,Pacific Lane,ocean,457,2023-04-12,delivered,0
SHP-230287,2023-03-11,Monterrey MX,CMH-1,BlueRidge Freight,FTL,2352,2023-03-16,delivered,0
SHP-230294,2023-03-14,RNO-1,CMH-1,BlueRidge Freight,LTL,431,2023-03-23,delivered,0
SHP-230301,2023-03-14,Shenzhen CN,PDX-1,Pacific Lane,ocean,1298,2023-04-12,delivered,0
SHP-230308,2023-03-15,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,2370,2023-04-20,delivered,0
SHP-230315,2023-03-15,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,64,2023-04-13,delivered,0
SHP-230318,2023-03-16,Shenzhen CN,PDX-1,Pacific Lane,ocean,552,2023-04-19,delivered,0
SHP-230325,2023-03-16,Hangzhou CN,PDX-1,Pacific Lane,ocean,1976,2023-04-13,delivered,0
SHP-230328,2023-03-17,PDX-1,CMH-1,BlueRidge Freight,LTL,1819,2023-03-24,delivered,0
SHP-230335,2023-03-18,Monterrey MX,CMH-1,BlueRidge Freight,FTL,1731,2023-03-22,delivered,0
SHP-230342,2023-03-21,PDX-1,RNO-1,BlueRidge Freight,FTL,975,2023-03-27,delivered,0
SHP-230345,2023-03-22,Ho Chi Minh VN,PDX-1,Pacific Lane,ocean,1774,2023-04-25,delivered,0
SHP-230356,2023-03-22,PDX-1,CMH-1,Pacific Lane,ocean,1602,2023-04-19,delivered,0
SHP-230363,2023-03-26,RNO-1,CMH-1,SwiftParcel,parcel,904,2023-04-02,delivered,0
SHP-230366,2023-03-27,PDX-1,RNO-1,BlueRidge Freight,FTL,1016,2023-04-06,delivered,0
SHP-230369,2023-03-27,Monterrey MX,CMH-1,BlueRidge Freight,FTL,2230,2023-04-03,delivered,0
SHP-230372,2023-03-29,PDX-1,CMH-1,SwiftParcel,parcel,1873,2023-04-06,delivered,0
SHP-230379,2023-03-29,Shenzhen CN,PDX-1,Pacific Lane,ocean,895,2023-04-02,delivered,0
SHP-230386,2023-03-31,PDX-1,CMH-1,BlueRidge Freight,FTL,1908,2023-04-08,delivered,0
SHP-230389,2023-03-31,PDX-1,RNO-1,BlueRidge Freight,FTL,1830,2023-04-08,delivered,0
SHP-230400,2023-04-01,Shenzhen CN,PDX-1,Pacific Lane,ocean,124,2023-05-03,delivered,0
SHP-230411,2023-04-03,PDX-1,RNO-1,BlueRidge Freight,FTL,2162,2023-04-10,delivered,0
SHP-230422,2023-04-06,Shenzhen CN,PDX-1,Pacific Lane,ocean,1122,2023-05-16,delivered,0
SHP-230429,2023-04-06,Shenzhen CN,PDX-1,Pacific Lane,ocean,876,2023-05-05,delivered,0
SHP-230432,2023-04-07,Guadalajara MX,CMH-1,BlueRidge Freight,FTL,2349,2023-04-12,delivered,0
SHP-230443,2023-04-07,PDX-1,CMH-1,Pacific Lane,ocean,1569,2023-05-02,delivered,0
